Cliente_Comprou_o_Titulo?,Idade,Profissao,Estado_Civil,Formacao,Cliente_Devedor?,Saldo_Conta_Corrente,Tem_Hipoteca?,Tem_Emprestimo?,Qte_de_Ligacoes_Feitas
Sim,18,Estudante,Solteiro,Desconhecido,Não,3,Não,Não,2
Não,18,Estudante,Solteiro,Ensino Médio,Não,5,Não,Não,2
Sim,18,Estudante,Solteiro,Desconhecido,Não,108,Não,Não,1
Sim,18,Estudante,Solteiro,Desconhecido,Não,348,Não,Não,4
Sim,18,Estudante,Solteiro,Fundamental,Não,608,Não,Não,1
Sim,18,Estudante,Solteiro,Fundamental,Não,608,Não,Não,1
Sim,18,Estudante,Solteiro,Desconhecido,Não,108,Não,Não,1
Sim,18,Estudante,Solteiro,Desconhecido,Não,108,Não,Não,1
Sim,19,Estudante,Solteiro,Fundamental,Não,103,Não,Não,2
Não,19,Estudante,Solteiro,Ensino Médio,Não,55,Não,Não,2
Sim,19,Estudante,Solteiro,Fundamental,Não,134,Não,Não,2
Sim,19,Estudante,Solteiro,Ensino Médio,Não,394,Não,Não,3
Sim,19,Estudante,Solteiro,Ensino Médio,Não,302,Não,Não,1
Sim,19,Estudante,Solteiro,Desconhecido,Não,108,Não,Não,2
Sim,19,Estudante,Solteiro,Fundamental,Não,608,Não,Não,1
Sim,19,Estudante,Solteiro,Desconhecido,Não,108,Não,Não,1
Sim,19,Estudante,Solteiro,Ensino Médio,Não,329,Não,Não,1
Sim,19,Estudante,Solteiro,Ensino Médio,Não,372,Não,Não,3
Não,19,Estudante,Solteiro,Desconhecido,Não,60,Não,Não,1
Sim,19,Estudante,Solteiro,Ensino Médio,Não,329,Não,Não,2
Sim,19,Estudante,Solteiro,Desconhecido,Não,779,Não,Não,4
Sim,20,Operário,Solteiro,Ensino Médio,Não,76,Sim,Não,2
Sim,20,Estudante,Solteiro,Ensino Médio,Não,215,Não,Não,4
Sim,20,Estudante,Solteiro,Fundamental,Não,6991,Não,Não,2
